醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,102,2,0,1,否,2026-04-14 03:57:31
台大兒醫,0,0,0,0,否,2026-04-14 03:57:31
三總,63,0,0,2,否,2026-04-14 03:57:31
北榮,49,6,0,0,否,2026-04-14 03:57:31
台北國泰,26,0,7,2,是,2026-04-14 03:57:31
台北馬偕,56,2,0,4,否,2026-04-14 03:57:31
馬偕兒醫,-,-,-,-,否,2026-04-14 03:57:31
新光,26,1,0,0,否,2026-04-14 03:57:31
亞東,40,8,23,2,否,2026-04-14 03:57:31
台北慈濟,30,3,0,0,否,2026-04-14 03:57:31
淡水馬偕,21,4,0,1,否,2026-04-14 03:57:31
萬芳,41,2,0,0,否,2026-04-14 03:57:31
部立雙和,42,2,0,1,否,2026-04-14 03:57:31
臺大新竹,21,0,10,1,是,2026-04-14 03:57:31
林口長庚,136,5,29,1,是,2026-04-14 03:57:31
中榮,38,1,0,7,否,2026-04-14 03:57:31
彰基,31,3,0,3,否,2026-04-14 03:57:31
彰基兒醫,-,-,-,-,否,2026-04-14 03:57:31
中國兒醫,-,-,-,-,否,2026-04-14 03:57:31
中山附醫,20,4,0,1,否,2026-04-14 03:57:31
中國附醫,32,6,0,7,否,2026-04-14 03:57:32
成大,63,3,17,1,是,2026-04-14 03:57:32
永康奇美,44,3,0,1,否,2026-04-14 03:57:32
高雄榮總,40,3,0,1,否,2026-04-14 03:57:32
高雄長庚,92,3,0,9,否,2026-04-14 03:57:32
義大醫院,29,0,0,0,否,2026-04-14 03:57:32
高醫,57,2,5,3,是,2026-04-14 03:57:32
花蓮慈濟,44,0,0,1,否,2026-04-14 03:57:32
